national_number,version,description
0040,Omega Ruby,"Wigglytuff has large, saucerlike eyes. The surfaces of its eyes are always covered with a thin layer of tears. If any dust gets in this Pokémon’s eyes, it is quickly washed away."
0040,Alpha Sapphire,"Wigglytuff’s body is very flexible. By inhaling deeply, this Pokémon can inflate itself seemingly without end. Once inflated, Wigglytuff bounces along lightly like a balloon."
0040,Sun,It sheds its fine fur when the seasons change. The fur is gathered and spun into a luxurious yarn.
0040,Moon,"As it inhales, it expands...and expands...and expands. Wigglytuff compete to see which one can inflate itself the most."
0040,Ultra Sun,"Thanks to its bouncy body and fine fur, this Pokémon is sought after. Holding one in your arms while you sleep feels great."
0040,Ultra Moon,"When it gets angry, it inhales with all its might, and its body gradually inflates. Sometimes they can grow 20 times larger!"
0040,Let's Go Pikachu / Let's Go Eevee,"Its body is very elastic. By inhaling deeply, it can continue to inflate itself without limit."
0040,Sword,"The more air it takes in, the more it inflates. If opponents catch it in a bad mood, it will inflate itself to an enormous size to intimidate them."
0040,Shield,"It’s proud of its fur, which is fine and delicate. In particular, the curl on its forehead has a texture that’s perfectly heavenly."
0040,Brilliant Diamond / Shining Pearl,Its fine fur feels sublime to the touch. It can expand its body by inhaling air.
0040,Scarlet,"It has a very fine fur. Take care not to make it angry, or it may inflate steadily and hit with a body slam."
0040,Violet,"The rich, fluffy fur that covers its body feels so good that anyone who feels it can’t stop touching it."
0041,Red / Blue,Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets.
0041,Yellow,Emits ultrasonic cries while it flies. They act as a sonar used to check for objects in its way.
0041,Gold,"While flying, it constantly emits ultrasonic waves from its mouth to check its surroundings."
0041,Silver,"Capable of flying safely in dark places, it emits ultrasonic cries to check for any obstacles."
0041,Crystal,"During the day, it gathers with others and hangs from the ceilings of old buildings and caves."
0041,Ruby,ZUBAT remains quietly unmoving in a dark spot during the bright daylight hours. It does so because prolonged exposure to the sun causes its body to become slightly burned.
0041,Sapphire,"ZUBAT avoids sunlight because exposure causes it to become unhealthy. During the daytime, it stays in caves or under the eaves of old houses, sleeping while hanging upside down."
0041,FireRed,"It has no eyes. Instead, it relies on its ultrasonic cries for echo location to flit about in darkness."
0041,LeafGreen,It forms colonies in perpetually dark places and uses ultrasonic waves to identify and approach targets.
0041,Emerald,"While living in pitch-black caverns, their eyes gradually grew shut and deprived them of vision. They use ultrasonic waves to detect obstacles."
0041,Diamond,"Even though it has no eyes, it can sense obstacles using ultrasonic waves it emits from its mouth."
0041,Pearl,"Disliking sunlight, it sleeps deep in forests and caves until sundown."
0041,Platinum,It checks its surroundings and location using reflections of the ultrasonic waves from its mouth.
0041,HeartGold,"While flying, it constantly emits ultrasonic waves from its mouth to check its surroundings."
0041,SoulSilver,"Capable of flying safely in dark places, it emits ultrasonic cries to check for any obstacles."
0041,Black / White,It checks its surroundings and location using reflections of the ultrasonic waves from its mouth.
0041,Black 2 / White 2,"It does not need eyes, because it emits ultrasonic waves to check its surroundings while it flies."
0041,X,"Even though it has no eyes, it can sense obstacles using ultrasonic waves it emits from its mouth."
0041,Y,"It has no eyes. Instead, it relies on its ultrasonic cries for echolocation to flit about in darkness."
0041,Omega Ruby,Zubat remains quietly unmoving in a dark spot during the bright daylight hours. It does so because prolonged exposure to the sun causes its body to become slightly burned.
0041,Alpha Sapphire,"Zubat avoids sunlight because exposure causes it to become unhealthy. During the daytime, it stays in caves or under the eaves of old houses, sleeping while hanging upside down."
0041,Sun,"It sleeps in caves during the day. It has no eyes, so to check its surroundings while flying, it emits ultrasonic waves."
0041,Moon,"When exposed to sunlight, they suffer burns. The frequency of their ultrasonic waves can differ slightly from colony to colony."
0041,Ultra Sun,"It has no eyeballs, so it can’t see. It checks its surroundings via the ultrasonic waves it emits from its mouth."
0041,Ultra Moon,"Their skin is so thin that they’ll be burned if sunlight hits them. When it gets cold out, they gather together to warm one another’s bodies."
0041,Let's Go Pikachu / Let's Go Eevee,Emits ultrasonic cries while it flies. They act as a sonar used to check for objects in its way.
0041,Sword,"It emits ultrasonic waves from its mouth to check its surroundings. Even in tight caves, Zubat flies around with skill."
0041,Shield,"Zubat live in caves, down where the sun’s light won’t reach. In the morning, they gather together to keep each other warm as they sleep."
0041,Brilliant Diamond,"Even though it has no eyes, it can sense obstacles using ultrasonic waves it emits from its mouth."
0041,Shining Pearl,"Disliking sunlight, it sleeps deep in forests and caves until sundown."
0041,Legends: Arceus,"Makes its home in gloomy caves. Atrophied eyes have left this Pokémon blind, so it scans its surroundings via sound waves that it emits from its mouth as it flies."
0042,Red / Blue,"Once it strikes, it will not stop draining energy from the victim even if it gets too heavy to fly."
0042,Yellow,"It attacks in a stealthy manner, without warning. Its sharp fangs are used to bite and suck blood."
0042,Gold,"However hard its victim’s hide may be, it punctures with sharp fangs and gorges itself with blood."
0042,Silver,"It can drink more than 10 ounces of blood at once. If it has too much, it gets heavy and flies clumsily."
0042,Crystal,"When it plunges its fangs into its prey, it instantly draws and gulps down more than ten ounces of blood."
0042,Ruby,"GOLBAT loves to drink the blood of living things. It is particularly active in the pitch black of night. This POKéMON flits around in the night skies, seeking fresh blood."
0042,Sapphire,"GOLBAT bites down on prey with its four fangs and drinks the victim’s blood. It becomes active on inky dark moonless nights, flying around to attack people and POKéMON."
0042,FireRed,It clamps down on its prey with needle-sharp fangs and drains over 10 ounces of blood in one gulp.
0042,LeafGreen,"Once it bites, it will not stop draining energy from the victim even if it gets too heavy to fly."
0042,Emerald,Its fangs easily puncture even thick animal hide. It loves to feast on the blood of people and POKéMON. It flits about in darkness and strikes from behind.
0042,Diamond,It loves the blood of humans and Pokémon. It flies around at night in search of neck veins.
0042,Pearl,"Once it starts sucking blood, it does not stop until it is full. It flies at night in search of prey."
0042,Platinum,Its sharp fangs puncture the toughest of hides and have small holes for greedily sucking blood.
0042,HeartGold,"However hard its victim’s hide may be, it punctures with sharp fangs and gorges itself with blood."
0042,SoulSilver,"It can drink more than 10 ounces of blood at once. If it has too much, it gets heavy and flies clumsily."
0042,Black / White,Its sharp fangs puncture the toughest of hides and have small holes for greedily sucking blood.
0042,Black 2 / White 2,"Flitting around in the dead of night, it sinks its fangs into its prey and drains a nearly fatal amount of blood."
0042,X,"Once it bites, it will not stop draining energy from the victim even if it gets too heavy to fly."
0042,Y,"Once it starts sucking blood, it does not stop until it is full. It flies at night in search of prey."
0042,Omega Ruby,"Golbat loves to drink the blood of living things. It is particularly active in the pitch black of night. This Pokémon flits around in the night skies, seeking fresh blood."
0042,Alpha Sapphire,"Golbat bites down on prey with its four fangs and drinks the victim’s blood. It becomes active on inky dark moonless nights, flying around to attack people and Pokémon."
0042,Sun,"Its thick fangs are hollow like straws, making them unexpectedly fragile. These fangs are specialized for sucking blood."
0042,Moon,"Sometimes they drink so much blood, they can’t fly anymore. Then they fall to the ground and become food for other Pokémon."
0042,Ultra Sun,"Every once in a while, you’ll see a Golbat that’s missing some fangs. This happens when hunger drives it to try biting a Steel-type Pokémon."
0042,Ultra Moon,They can suck down over 10 ounces of blood in one go. They have been known to drink so much blood that they can no longer fly.
0042,Let's Go Pikachu / Let's Go Eevee,"It attacks in a stealthy manner, without warning. Its sharp fangs are used to bite and to suck blood."
0042,Sword,"It loves to drink other creatures’ blood. It’s said that if it finds others of its kind going hungry, it sometimes shares the blood it’s gathered."
0042,Shield,"Its feet are tiny, but this Pokémon walks skillfully. It sneaks up on sleeping prey before sinking in its fangs and slurping up blood."
0042,Brilliant Diamond,It loves the blood of humans and Pokémon. It flies around at night in search of neck veins.
0042,Shining Pearl,"Once it starts sucking blood, it does not stop until it is full. It flies at night in search of prey."
0042,Legends: Arceus,It sinks its sharp fangs into other creatures and slurps up their blood. A closer look at the fangs reveals that they are hollow and akin to straws.
0043,Red / Blue,"During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds."
0043,Yellow,"It may be mistaken for a clump of weeds. If you try to yank it out of the ground, it shrieks horribly."
0043,Gold,"Awakened by moonlight, it roams actively at night. In the day, it stays quietly underground."
0043,Silver,"If exposed to moonlight, it starts to move. It roams far and wide at night to scatter its seeds."
0043,Crystal,"During the day, it stays in the cold underground to avoid the sun. It grows by bathing in moonlight."
0043,Ruby,"During the daytime, ODDISH buries itself in soil to absorb nutrients from the ground using its entire body. The more fertile the soil, the glossier its leaves become."
0043,Sapphire,"ODDISH searches for fertile, nutrient-rich soil, then plants itself. During the daytime, while it is planted, this POKéMON’s feet are thought to change shape and become similar to the roots of trees."
0043,FireRed,"Its scientific name is “Oddium Wanderus.” At night, it is said to walk nearly 1,000 feet on its two roots."
0043,LeafGreen,"During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds."
0043,Emerald,"This POKéMON grows by absorbing moonlight. During the daytime, it buries itself in the ground, leaving only its leaves exposed to avoid detection by its enemies."
0043,Diamond / Pearl / Platinum,It often plants its root feet in the ground during the day and sows seeds as it walks about at night.
0043,HeartGold,"Awakened by moonlight, it roams actively at night. In the day, it stays quietly underground."
0043,SoulSilver,"If exposed to moonlight, it starts to move. It roams far and wide at night to scatter its seeds."
0043,Black / White / Black 2 / White 2,It often plants its root feet in the ground during the day and sows seeds as it walks about at night.
0043,X,"During the day, it stays in the cold underground to avoid the sun. It grows by bathing in moonlight."
0043,Y,"Its scientific name is “Oddium Wanderus.” At night, it is said to walk nearly 1,000 feet on its two roots."
0043,Omega Ruby,"During the daytime, Oddish buries itself in soil to absorb nutrients from the ground using its entire body. The more fertile the soil, the glossier its leaves become."
0043,Alpha Sapphire,"Oddish searches for fertile, nutrient-rich soil, then plants itself. During the daytime, while it is planted, this Pokémon’s feet are thought to change shape and become similar to the roots of trees."
0043,Let's Go Pikachu / Let's Go Eevee,"It may be mistaken for a clump of weeds. If you try to yank it out of the ground, it shrieks horribly."
0043,Sword,"If exposed to moonlight, it starts to move. It roams far and wide at night to scatter its seeds."
0043,Shield,"During the day, it stays in the cold underground to avoid the sun. It grows by bathing in moonlight."
0043,Brilliant Diamond / Shining Pearl,It often plants its root feet in the ground during the day and sows seeds as it walks about at night.
0044,Red / Blue,The fluid that oozes from its mouth isn’t drool. It is a nectar that is used to attract prey.
0044,Yellow,"Smells incredibly foul! However, around 1 out of 1,000 people enjoy sniffing its nose-bending stink."
0044,Gold,What appears to be drool is actually sweet honey. It is very sticky and clings stubbornly if touched.
0044,Silver,"It secretes a sticky, drool-like honey. Although sweet, it smells too repulsive to get very close."
0044,Crystal,"The smell from its drool-like syrup and the pollen on its petals is so bad, it may make opponents faint."
0044,Ruby,"GLOOM releases a foul fragrance from the pistil of its flower. When faced with danger, the stench worsens. If this POKéMON is feeling calm and secure, it does not release its usual stinky aroma."
0044,Sapphire,"From its mouth GLOOM drips honey that smells absolutely horrible. Apparently, it loves the horrid stench. It sniffs the noxious fumes and then drools even more of its honey."
0044,FireRed,Its pistils exude an incredibly foul odor. The horrid stench can cause fainting at a distance of 1.25 miles.
0044,LeafGreen,The fluid that oozes from its mouth isn’t drool. It is a nectar that is used to attract prey.
0044,Emerald,"A horribly noxious honey drools from its mouth. One whiff of the honey can result in memory loss. Some fans are said to enjoy this overwhelming stink, however."
0044,Diamond / Pearl / Platinum,"The honey it drools from its mouth smells so atrocious, it can curl noses more than a mile away."
0044,HeartGold,What appears to be drool is actually sweet honey. It is very sticky and clings stubbornly if touched.
0044,SoulSilver,"It secretes a sticky, drool-like honey. Although sweet, it smells too repulsive to get very close."
0044,Black / White / Black 2 / White 2,"The honey it drools from its mouth smells so atrocious, it can curl noses more than a mile away."
0044,X,"Smells incredibly foul! However, around one out of a thousand people enjoy sniffing its nose-bending stink."
0044,Y,"The honey it drools from its mouth smells so atrocious, it can curl noses more than a mile away."
0044,Omega Ruby,"Gloom releases a foul fragrance from the pistil of its flower. When faced with danger, the stench worsens. If this Pokémon is feeling calm and secure, it does not release its usual stinky aroma."
0044,Alpha Sapphire,"From its mouth Gloom drips honey that smells absolutely horrible. Apparently, it loves the horrid stench. It sniffs the noxious fumes and then drools even more of its honey."
0044,Let's Go Pikachu / Let's Go Eevee,"Smells incredibly foul! However, around one out of a thousand people enjoy sniffing its nose-bending stink."
0044,Sword,Its pistils exude an incredibly foul odor. The horrid stench can cause fainting at a distance of 1.25 miles.
0044,Shield,What appears to be drool is actually sweet honey. It is very sticky and clings stubbornly if touched.
0044,Brilliant Diamond / Shining Pearl,The nectar it drools from its mouth smells so atrocious that it can make noses curl from more than a mile away.
0045,Red / Blue,"The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up."
0045,Yellow,Flaps its broad flower petals to scatter its poisonous pollen. The flapping sound is very loud.
0045,Gold,"It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen."
0045,Silver,"The bud bursts into bloom with a bang. It then starts scattering allergenic, poisonous pollen."
0045,Crystal,"By shaking its big petals, it scatters toxic pollen into the air, turning the air yellow."
0045,Ruby,"VILEPLUME’s toxic pollen triggers atrocious allergy attacks. That’s why it is advisable never to approach any attractive flowers in a jungle, however pretty they may be."
0045,Sapphire,"VILEPLUME has the world’s largest petals. They are used to attract prey that are then doused with toxic spores. Once the prey are immobilized, this POKéMON catches and devours them."
0045,FireRed,Its petals are the largest in the world. It fiendishly scatters allergy-causing pollen from its petals.
0045,LeafGreen,"The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up."
0045,Emerald,"In seasons when it produces more pollen, the air around a VILEPLUME turns yellow with the powder as it walks. The pollen is highly toxic and causes paralysis."
0045,Diamond / Pearl / Platinum,"Its petals are the largest in the world. As it walks, it scatters extremely allergenic pollen."
0045,HeartGold,"It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen."
0045,SoulSilver,"The bud bursts into bloom with a bang. It then starts scattering allergenic, poisonous pollen."
0045,Black / White / Black 2 / White 2,"Its petals are the largest in the world. As it walks, it scatters extremely allergenic pollen."
0045,X,"The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up."
0045,Y,"It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen."
0045,Omega Ruby,"Vileplume’s toxic pollen triggers atrocious allergy attacks. That’s why it is advisable never to approach any attractive flowers in a jungle, however pretty they may be."
0045,Alpha Sapphire,"Vileplume has the world’s largest petals. They are used to attract prey that are then doused with toxic spores. Once the prey are immobilized, this Pokémon catches and devours them."
0045,Let's Go Pikachu / Let's Go Eevee,Flaps its broad flower petals to scatter its poisonous pollen. The flapping sound is very loud.
0045,Sword,"It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen."
0045,Shield,"The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up."
0045,Brilliant Diamond / Shining Pearl,"Its petals are the largest in the world. As it walks, it scatters extremely allergenic pollen."
0046,Red / Blue,Burrows to suck tree roots. The mushrooms on its back grow by drawing nutrients from the bug host.
0046,Yellow,Burrows under the ground to gnaw on tree roots. The mushrooms on its back absorb most of the nutrition.
0046,Gold,"It is doused with mushroom spores when it is born. As its body grows, mushrooms sprout from its back."
0046,Silver,"As its body grows large, oriental mushrooms named tochukaso start sprouting out of its back."
0046,Crystal,The tochukaso growing on this POKéMON’s back orders it to extract juice from tree trunks.
0046,Ruby,PARAS has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from the BUG POKéMON host. They are highly valued as a medicine for extending life.
0046,Sapphire,PARAS has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from this BUG POKéMON host. They are highly valued as a medicine for extending life.
0046,FireRed,Growing out of the bug’s back are mushrooms called tochukaso. The mushrooms grow with the bug host.
0046,LeafGreen,Burrows to suck tree roots. The mushrooms on its back grow by drawing nutrients from the bug host.
0046,Emerald,A PARAS has parasitic tochukaso mushrooms growing on its back. They grow by drawing nutrients from the host. They are valued as a medicine for long life.
0046,Diamond / Pearl / Platinum,Mushrooms named tochukaso grow on its back. They grow along with the host PARAS.
0046,HeartGold,"It is doused with mushroom spores when it is born. As its body grows, mushrooms sprout from its back."
0046,SoulSilver,"As its body grows, large mushrooms named tochukaso start sprouting out of its back."
0046,Black / White / Black 2 / White 2,Mushrooms named tochukaso grow on its back. They grow along with the host Paras.
0046,X,Growing out of the bug’s back are mushrooms called tochukaso. The mushrooms grow with the bug host.
0046,Y,Burrows under the ground to gnaw on tree roots. The mushrooms on its back absorb most of the nutrition.
0046,Omega Ruby / Alpha Sapphire,Paras has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from this Bug Pokémon host. They are highly valued as a medicine for extending life.
0046,Sun,"No matter how much it eats, the mushrooms growing on its back steal away most of the nutrients it consumes."
0046,Moon,Mushrooms called tochukaso sprout from its back. They can be dried and powdered to make a medicine used to extend life.
0046,Ultra Sun,"Whether it’s due to a lack of moisture or a lack of nutrients, in Alola the mushrooms on Paras don’t grow up quite right."
0046,Ultra Moon,"The mushrooms, known as tochukaso, are controlling the bug. Even if the bug bugs the mushrooms, they tell it to bug off."
0046,Let's Go Pikachu / Let's Go Eevee,Burrows under the ground to gnaw on tree roots. The mushrooms on its back absorb most of the nutrition.
0046,Brilliant Diamond / Shining Pearl,Mushrooms named tochukaso grow on its back. They grow along with the host Paras.
0046,Legends: Arceus,Sometimes seen at the foot of trees in humid forests. The mushrooms on its back—called tochukaso—are not present on infant specimens and instead emerge as Paras matures.
0047,Red / Blue,A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places.
0047,Yellow,The bug host is drained of energy by the mushrooms on its back. They appear to do all the thinking.
0047,Gold,"It stays mostly in dark, damp places, the preference not of the bug, but of the big mushrooms on its back."
0047,Silver,"The larger the mushroom on its back grows, the stronger the mushroom spores it scatters."
0047,Crystal,"When nothing’s left to extract from the bug, the mushrooms on its back leave spores on the bug’s egg."
0047,Ruby / Sapphire,"PARASECT is known to infest large trees en masse and drain nutrients from the lower trunk and roots. When an infested tree dies, they move onto another tree all at once."
0047,FireRed,"It scatters toxic spores from the mushroom cap. In China, the spores are used as herbal medicine."
0047,LeafGreen,A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places.
0047,Emerald,"PARASECT are known to infest the roots of large trees en masse and drain nutrients. When an infested tree dies, they move onto another tree all at once."
0047,Diamond / Platinum,A mushroom grown larger than the host’s body controls PARASECT. It scatters poisonous spores.
0047,Pearl,It is controlled by a mushroom grown larger than the bug body. It is said to prefer damp places.
0047,HeartGold,"It stays mostly in dark, damp places, the preference not of the bug, but of the big mushroom on its back."
0047,SoulSilver,"The larger the mushroom on its back grows, the stronger the mushroom spores it scatters."
0047,Black / White / Black 2 / White 2,A mushroom grown larger than the host’s body controls Parasect. It scatters poisonous spores.
0047,X,A mushroom grown larger than the host’s body controls Parasect. It scatters poisonous spores.
0047,Y,"The larger the mushroom on its back grows, the stronger the mushroom spores it scatters."
0047,Omega Ruby / Alpha Sapphire,"Parasect is known to infest large trees en masse and drain nutrients from the lower trunk and roots. When an infested tree dies, they move onto another tree all at once."
0047,Sun,The large mushroom on its back controls it. It often fights over territory with Shiinotic.
0047,Moon,"It scatters toxic spores from its mushroom cap. Once harvested, these spores can be steeped and boiled down to prepare herbal medicines."
0047,Ultra Sun,"The bug is mostly dead, with the mushroom on its back having become the main body. If the mushroom comes off, the bug stops moving."
0047,Ultra Moon,"Its poisonous spores are also used in traditional medicine. Apparently, spores produced in Alola are not of very good quality."
0047,Let's Go Pikachu / Let's Go Eevee,The bug host is drained of energy by the mushrooms on its back. The mushroom appears to do all the thinking.
0047,Brilliant Diamond,Parasect is controlled by a mushroom that has grown larger than its host’s body. The Pokémon scatters poisonous spores.
0047,Shining Pearl,"It is controlled by the mushroom, which has grown larger than the bug body. It is said to prefer damp places."
0047,Legends: Arceus,"Mushroom-lacking specimens of this Pokémon lie unmoving in the forest, lending credence to the hypothesis that the large mushroom is in control of Parasect’s actions."
0048,Red / Blue,Lives in the shadows of tall trees where it eats insects. It is attracted by light at night.
0048,Yellow,"Its large eyes act as radars. In a bright place, you can see that they are clusters of many tiny eyes."
0048,Gold,Its eyes also function as radar units. It catches and eats small bugs that hide in darkness.
0048,Silver,Poison oozes from all over its body. It catches and eats small bugs at night that are attracted by light.
0048,Crystal,"The small bugs it eats appear only at night, so it sleeps in a hole in a tree until night falls."
0048,Ruby / Sapphire,"VENONAT is said to have evolved with a coat of thin, stiff hair that covers its entire body for protection. It possesses large eyes that never fail to spot even miniscule prey."
0048,FireRed,"Its eyes act as radar, enabling it to be active in darkness. The eyes can also shoot powerful beams."
0048,LeafGreen,Lives in the shadows of tall trees where it eats bugs. It is attracted by light at night.
0048,Emerald,"Its coat of thin, stiff hair that covers its entire body is said to have evolved for protection. Its large eyes never fail to spot even miniscule prey."
0048,Diamond / Pearl / Platinum,"Its big eyes are actually clusters of tiny eyes. At night, its kind is drawn by light."
0048,HeartGold,Its eyes also function as radar units. It catches and eats small bugs that hide in darkness.
0048,SoulSilver,Poison oozes from all over its body. It catches and eats small bugs at night that are attracted by light.
0048,Black / White / Black 2 / White 2,"Its big eyes are actually clusters of tiny eyes. At night, its kind is drawn by light."
0048,X,"Its big eyes are actually clusters of tiny eyes. At night, its kind is drawn by light."
0048,Y,Lives in the shadows of tall trees where it eats bugs. It is attracted by light at night.
0048,Omega Ruby / Alpha Sapphire,"Venonat is said to have evolved with a coat of thin, stiff hair that covers its entire body for protection. It possesses large eyes that never fail to spot even minuscule prey."
0048,Let's Go Pikachu / Let's Go Eevee,"Its large eyes act as a radar. In a bright place, you can see that they are clusters of many tiny eyes."
0048,Brilliant Diamond / Shining Pearl,"Its big eyes are actually clusters of tiny eyes. At night, its kind is drawn by light."
0048,Scarlet,Poison oozes from all over its body. It catches small bug Pokémon at night that are attracted by light.
0048,Violet,"Its eyes act as radar, enabling it to be active in darkness. The eyes can also shoot powerful beams."
0049,Red / Blue,The dust-like scales covering its wings are color coded to indicate the kinds of poison it has.
0049,Yellow,The powdery scales on its wings are hard to remove. They also contain poison that leaks out on contact.
0049,Gold,"When it attacks, it flaps its large wings violently to scatter its poisonous powder all around."
0049,Silver,"The powder on its wings is poisonous if it is dark in color. If it is light, it causes paralysis."
0049,Crystal,"The scales it scatters will paralyze anyone who touches them, making that person unable to stand."
0049,Ruby / Sapphire,"VENOMOTH is nocturnal - it is a POKéMON that only becomes active at night. Its favorite prey are small insects that gather around streetlights, attracted by the light in the darkness."
0049,FireRed,"The wings are covered with dustlike scales. Every time it flaps its wings, it looses highly toxic dust."
0049,LeafGreen,The dustlike scales covering its wings are color-coded to indicate the kinds of poison it has.
0049,Emerald,"VENOMOTH are nocturnal--they only are active at night. Their favorite prey are insects that gather around streetlights, attracted by the light in the darkness."
0049,Diamond / Pearl / Platinum,It flutters its wings to scatter dustlike scales. The scales leach toxins if they contact skin.
0049,HeartGold,"When it attacks, it flaps its large wings violently to scatter its poisonous powder all around."
0049,SoulSilver,"The powder on its wings is poisonous if it is dark in hue. If it is light in hue, it causes paralysis."
0049,Black / White / Black 2 / White 2,It flutters its wings to scatter dustlike scales. The scales leach toxins if they contact skin.
0049,X,"The scales it scatters will paralyze anyone who touches them, making that person unable to stand."
0049,Y,"The wings are covered with dustlike scales. Every time it flaps its wings, it looses highly toxic dust."
0049,Omega Ruby / Alpha Sapphire,"Venomoth is nocturnal—it is a Pokémon that only becomes active at night. Its favorite prey are small insects that gather around streetlights, attracted by the light in the darkness."
0049,Let's Go Pikachu / Let's Go Eevee,The powdery scales on its wings are hard to remove from skin. They also contain poison that leaks out on contact.
0049,Brilliant Diamond / Shining Pearl,It flutters its wings to scatter dustlike scales. The scales leach toxins if they contact skin.
0049,Scarlet,"The wings are covered with dustlike scales. Every time it flaps its wings, it looses highly toxic dust."
0049,Violet,"When it attacks, it flaps its large wings violently to scatter its poisonous powder all around."
0050,Red / Blue,Lives about one yard underground where it feeds on plant roots. It sometimes appears above ground.
0050,Yellow,"It prefers dark places. It spends most of its time underground, though it may pop up in caves."
0050,Gold,"Its skin is very thin. If it is exposed to light, its blood heats up, causing it to grow weak."
0050,Silver,"If a DIGLETT DIGS through a field, it leaves the soil perfectly tilled and ideal for planting crops."
0050,Crystal,"It digs underground and chews on tree roots, sticking its head out only when the sun isn’t bright."
0050,Ruby / Sapphire,"DIGLETT are raised in most farms. The reason is simple - wherever this POKéMON burrows, the soil is left perfectly tilled for planting crops. This soil is made ideal for growing delicious vegetables."
0050,FireRed,"It burrows through the ground at a shallow depth. It leaves raised earth in its wake, making it easy to spot."
0050,LeafGreen,Lives about one yard underground where it feeds on plant roots. It sometimes appears aboveground.
0050,Emerald,"DIGLETT are raised in most farms. The reason is simple--wherever they burrow, the soil is left perfectly tilled for growing delicious crops."
0050,Diamond / Pearl / Platinum,"A Pokémon that lives underground. Because of its dark habitat, it is repelled by bright sunlight."
0050,HeartGold,"Its skin is very thin. If it is exposed to light, its blood heats up, causing it to grow weak."
0050,SoulSilver,"If a DIGLETT digs through a field, it leaves the soil perfectly tilled and ideal for planting crops."
0050,Black / White / Black 2 / White 2,"A Pokémon that lives underground. Because of its dark habitat, it is repelled by bright sunlight."
0050,X,Lives about one yard underground where it feeds on plant roots. It sometimes appears aboveground.
0050,Y,"Its skin is very thin. If it is exposed to light, its blood heats up, causing it to grow weak."
0050,Omega Ruby / Alpha Sapphire,"Diglett are raised in most farms. The reason is simple— wherever this Pokémon burrows, the soil is left perfectly tilled for planting crops. This soil is made ideal for growing delicious vegetables."
0050,Sun,It chews on plant roots underground. Farmers whose vegetables are vulnerable find it can be quite a pest.
0050,Moon,Many farmers cherish and nurture Diglett because its droppings enrich the soil it lives in.
0050,Ultra Sun,"It travels through tunnels that it digs underground. It hates sunlight, so it comes out only after the sun goes down."
0050,Ultra Moon,"Around their crops, farmers plant the kind of tree that Diglett like to eat as a way of getting Diglett to plow the fields for them."
0050,Let's Go Pikachu / Let's Go Eevee,"It prefers dark places. It spends most of its time underground, though it may pop up in caves."
0050,Sword,"If a Diglett digs through a field, it leaves the soil perfectly tilled and ideal for planting crops."
0050,Shield,"It burrows through the ground at a shallow depth. It leaves raised earth in its wake, making it easy to spot."
0050,Brilliant Diamond / Shining Pearl,"This Pokémon lives underground. Because of its dark habitat, it is repelled by bright sunlight."
0050,Scarlet,"It lives about one yard underground, where it feeds on plant roots. It sometimes appears aboveground."
0050,Violet,"Its skin is very thin. If it is exposed to light, its blood heats up, causing it to grow weak."
0051,Red / Blue,A team of DIGLETT triplets. It triggers huge earthquakes by burrowing 60 miles underground.
0051,Yellow,"A team of triplets that can burrow over 60 MPH. Due to this, some people think it’s an earthquake."
0051,Gold,"Its three heads bob separately up and down to loosen the soil nearby, making it easier for it to burrow."
0051,Silver,"Extremely powerful, they can DIG through even the hardest ground to a depth of over 60 miles."
0051,Crystal,These DIGLETT triplets dig over 60 miles below sea level. No one knows what it’s like underground.
0051,Ruby / Sapphire,"DUGTRIO are actually triplets that emerged from one body. As a result, each triplet thinks exactly like the other two triplets. They work cooperatively to burrow endlessly."
0051,FireRed,"In battle, it digs through the ground and strikes the unsuspecting foe from an unexpected direction."
0051,LeafGreen,A team of DIGLETT triplets. It triggers huge earthquakes by burrowing 60 miles underground.
0051,Emerald,"Because the triplets originally split from one body, they think exactly alike. They work cooperatively to burrow endlessly through the ground."
0051,Diamond / Pearl / Platinum,"Its three heads move alternately, driving it through tough soil to depths of over 60 miles."
0051,HeartGold,"Its three heads bob separately up and down to loosen the soil nearby, making it easier for it to burrow."
0051,SoulSilver,"Extremely powerful, they can dig through even the hardest ground to a depth of over 60 miles."
0051,Black / White / Black 2 / White 2,"Its three heads move alternately, driving it through tough soil to depths of over 60 miles."
0051,X,"In battle, it digs through the ground and strikes the unsuspecting foe from an unexpected direction."
0051,Y,"Extremely powerful, they can dig through even the hardest ground to a depth of over 60 miles."
